time,OBS1,OBS2,OBS3,OBS5,OBS6,OBS7,OBS8,OBS9,OBS10,OBS11,OBS12,OBS13,OBS14,OBS15,OBS16,OBS17,OBS18,OBS19,OBS20,OBS4
1.000000000000,-0.1174825498,0.9258910982,-0.2978765611,3.712530311,0.9612371167,0.5576367610E-01,-0.7080655370,6.214126579,6.275777278,0.5573708244,-0.7273834131,6.453804185,4.664368968,2.422889084,-1.109129007,1.405658794,0.6761008068,0.4373803158,0.1415019542,6.164345472
2.000000000000,-0.1174825590,0.9258966129,-0.2978766674,3.712522561,0.9612366899,0.5576295146E-01,-0.7080655753,6.214121794,6.275766929,0.5573702629,-0.7273835084,6.453800862,4.664365047,2.422892915,-1.109129007,1.405659869,0.6761009021,0.4373804560,0.1412485796,6.164347616
3.000000000000,-0.1174825667,0.9259015151,-0.2978767615,3.712514837,0.9612362806,0.5576221653E-01,-0.7080656032,6.214117059,6.275756691,0.5573697099,-0.7273836036,6.453797552,4.664361192,2.422896677,-1.109129008,1.405660922,0.6761010019,0.4373805872,0.1409428698,6.164349705
4.000000000000,-0.1174825736,0.9259059630,-0.2978768506,3.712507124,0.9612358855,0.5576147659E-01,-0.7080656316,6.214112377,6.275746550,0.5573691658,-0.7273836988,6.453794260,4.664357391,2.422900383,-1.109129008,1.405661955,0.6761011054,0.4373807103,0.1405069359,6.164351744
5.000000000000,-0.1174825800,0.9259100591,-0.2978769361,3.712499422,0.9612355021,0.5576073617E-01,-0.7080656605,6.214107749,6.275736496,0.5573686307,-0.7273837940,6.453790986,4.664353638,2.422904038,-1.109129008,1.405662971,0.6761012122,0.4373808262,0.1399739759,6.164353737
6.000000000000,-0.1174825862,0.9259138791,-0.2978770184,3.712491730,0.9612351285,0.5575999891E-01,-0.7080656900,6.214103172,6.275726525,0.5573681045,-0.7273838892,6.453787731,4.664349928,2.422907647,-1.109129008,1.405663971,0.6761013220,0.4373809355,0.1393968148,6.164355687
7.000000000000,-0.1174825923,0.9259174811,-0.2978770978,3.712484051,0.9612347635,0.5575926754E-01,-0.7080657199,6.214098645,6.275716631,0.5573675872,-0.7273839843,6.453784495,4.664346259,2.422911212,-1.109129009,1.405664956,0.6761014345,0.4373810389,0.1388117580,6.164357597
8.000000000000,-0.1174825984,0.9259209102,-0.2978771745,3.712476386,0.9612344060,0.5575854426E-01,-0.7080657500,6.214094166,6.275706811,0.5573670785,-0.7273840794,6.453781280,4.664342629,2.422914734,-1.109129009,1.405665926,0.6761015496,0.4373811371,0.1389176702,6.164359467
9.000000000000,-0.1174826047,0.9259242014,-0.2978772488,3.712468738,0.9612340554,0.5575783045E-01,-0.7080657803,6.214089733,6.275697061,0.5573665784,-0.7273841744,6.453778085,4.664339037,2.422918213,-1.109129009,1.405666881,0.6761016668,0.4373812303,0.1389748002,6.164361300
10.00000000000,-0.1174826106,0.9259272709,-0.2978773165,3.712461376,0.9612337285,0.5575716921E-01,-0.7080658077,6.214085559,6.275687904,0.5573661159,-0.7273842644,6.453775001,4.664335663,2.422921490,-1.109129010,1.405667774,0.6761017800,0.4373813143,0.1389470838,6.164363022
11.00000000000,-0.1174826172,0.9259303605,-0.2978773867,3.712453767,0.9612333895,0.5575647592E-01,-0.7080658387,6.214081207,6.275678274,0.5573656318,-0.7273843593,6.453771848,4.664332139,2.422924891,-1.109129010,1.405668704,0.6761019010,0.4373813992,0.1387127556,6.164364785
12.00000000000,-0.1174826239,0.9259333765,-0.2978774551,3.712446179,0.9612330563,0.5575579409E-01,-0.7080658686,6.214076894,6.275668707,0.5573651556,-0.7273844541,6.453768715,4.664328648,2.422928252,-1.109129010,1.405669620,0.6761020236,0.4373814803,0.1383297879,6.164366511
13.00000000000,-0.1174826308,0.9259363305,-0.2978775220,3.712438613,0.9612327285,0.5575512396E-01,-0.7080658982,6.214072621,6.275659201,0.5573646872,-0.7273845488,6.453765603,4.664325189,2.422931571,-1.109129011,1.405670522,0.6761021477,0.4373815578,0.1378706599,6.164368202
14.00000000000,-0.1174826379,0.9259392318,-0.2978775874,3.712431070,0.9612324060,0.5575446560E-01,-0.7080659274,6.214068384,6.275649754,0.5573642264,-0.7273846434,6.453762512,4.664321761,2.422934851,-1.109129011,1.405671412,0.6761022731,0.4373816320,0.1373840925,6.164369858
15.00000000000,-0.1174826452,0.9259420828,-0.2978776509,3.712423541,0.9612320906,0.5575382709E-01,-0.7080659555,6.214064211,6.275640448,0.5573637789,-0.7273847371,6.453759431,4.664318389,2.422938078,-1.109129012,1.405672284,0.6761023985,0.4373817022,0.1368984621,6.164371479
16.00000000000,-0.1174826527,0.9259448989,-0.2978777132,3.712416050,0.9612317781,0.5575319214E-01,-0.7080659839,6.214060046,6.275631113,0.5573633331,-0.7273848314,6.453756382,4.664315024,2.422941278,-1.109129012,1.405673149,0.6761025261,0.4373817701,0.1369141930,6.164373068
17.00000000000,-0.1174826604,0.9259476776,-0.2978777749,3.712408585,0.9612314706,0.5575256873E-01,-0.7080660117,6.214055916,6.275621833,0.5573628944,-0.7273849256,6.453753355,4.664311689,2.422944439,-1.109129013,1.405674002,0.6761026544,0.4373818351,0.1368703964,6.164374623
18.00000000000,-0.1174826683,0.9259504227,-0.2978778356,3.712401146,0.9612311678,0.5575195655E-01,-0.7080660390,6.214051819,6.275612606,0.5573624628,-0.7273850196,6.453750347,4.664308382,2.422947561,-1.109129013,1.405674844,0.6761027834,0.4373818974,0.1366587749,6.164376144
19.00000000000,-0.1174826763,0.9259531367,-0.2978778953,3.712393733,0.9612308697,0.5575135543E-01,-0.7080660657,6.214047755,6.275603432,0.5573620381,-0.7273851135,6.453747360,4.664305105,2.422950645,-1.109129013,1.405675674,0.6761029131,0.4373819570,0.1363323342,6.164377634
